,Close,DateStamp,High,LastSale,Low,Open,Symbol,Volume
172,103.13,2016-09-09T00:00:00Z,105.72,103.13,103.13,104.64,AAPL,46551656
173,105.44,2016-09-12T00:00:00Z,105.72,105.44,102.53,102.65,AAPL,45255723
174,107.95,2016-09-13T00:00:00Z,108.79,107.95,107.24,107.52,AAPL,62161577
175,111.77,2016-09-14T00:00:00Z,113.03,111.77,108.6,108.73,AAPL,112281613
176,115.57,2016-09-15T00:00:00Z,115.73,115.57,113.49,113.86,AAPL,90499467
177,114.925,2016-09-16T00:00:00Z,116.13,114.925,103.37,115.15,AAPL,79833945
178,113.58,2016-09-19T00:00:00Z,116.18,113.58,105.67,115.19,AAPL,46969702
179,113.57,2016-09-20T00:00:00Z,114.12,113.57,104.6984,113.05,AAPL,34499956
180,113.55,2016-09-21T00:00:00Z,113.989,113.55,112.4401,113.85,AAPL,35976768
181,114.62,2016-09-22T00:00:00Z,114.94,114.62,114.0,114.35,AAPL,31070803
182,112.71,2016-09-23T00:00:00Z,114.79,112.71,111.55,114.42,AAPL,52478773
183,112.88,2016-09-26T00:00:00Z,113.85,112.88,111.55,111.64,AAPL,29828710
184,113.09,2016-09-27T00:00:00Z,113.18,113.09,112.34,113.0,AAPL,24589247
185,113.95,2016-09-28T00:00:00Z,115.29,113.95,113.43,113.7,AAPL,29633813
186,112.18,2016-09-29T00:00:00Z,114.47,112.18,111.8,113.2,AAPL,35866200
187,113.05,2016-09-30T00:00:00Z,113.37,113.05,111.8,112.46,AAPL,36370948
188,112.52,2016-10-03T00:00:00Z,113.05,112.52,112.2601,112.71,AAPL,21700160
189,113.0,2016-10-04T00:00:00Z,114.31,113.0,112.63,113.06,AAPL,29734975
190,113.05,2016-10-05T00:00:00Z,113.66,113.05,112.69,113.4,AAPL,21451498
191,113.89,2016-10-06T00:00:00Z,114.34,113.89,107.36,113.69,AAPL,28777195
192,114.06,2016-10-07T00:00:00Z,115.207,114.06,113.3739,114.31,AAPL,24357325
193,116.05,2016-10-10T00:00:00Z,116.75,116.05,114.72,115.02,AAPL,36208396
194,116.3,2016-10-11T00:00:00Z,118.69,116.3,116.2,117.71,AAPL,63891098
195,117.34,2016-10-12T00:00:00Z,117.98,117.34,113.74,117.34,AAPL,37551354
196,116.98,2016-10-13T00:00:00Z,117.44,116.98,115.7,116.85,AAPL,35125288
197,117.63,2016-10-14T00:00:00Z,118.17,117.63,117.12,117.88,AAPL,35642645
198,117.55,2016-10-17T00:00:00Z,117.84,117.55,116.78,117.33,AAPL,23614554
199,117.47,2016-10-18T00:00:00Z,118.21,117.47,117.45,118.18,AAPL,24541111
200,117.12,2016-10-19T00:00:00Z,117.8362,117.12,113.8,117.25,AAPL,20030100
201,117.06,2016-10-20T00:00:00Z,117.38,117.06,116.33,116.86,AAPL,24123084
202,116.6,2016-10-21T00:00:00Z,116.92,116.6,116.28,116.81,AAPL,23187780
203,117.65,2016-10-24T00:00:00Z,117.74,117.65,117.0,117.1,AAPL,23527358
204,118.25,2016-10-25T00:00:00Z,118.36,118.25,117.28,117.95,AAPL,48167058
205,115.59,2016-10-26T00:00:00Z,116.386,115.59,113.31,114.265,AAPL,66062640
206,114.48,2016-10-27T00:00:00Z,115.86,114.48,114.1,115.39,AAPL,34602275
207,113.72,2016-10-28T00:00:00Z,115.21,113.72,104.61,113.86,AAPL,37961343
208,113.54,2016-10-31T00:00:00Z,114.23,113.54,113.2,113.65,AAPL,26415526
209,111.49,2016-11-01T00:00:00Z,113.81,111.49,110.5122,113.46,AAPL,43926702
210,111.59,2016-11-02T00:00:00Z,112.35,111.59,111.23,111.4,AAPL,28324691
211,109.83,2016-11-03T00:00:00Z,115.59,109.83,109.55,110.98,AAPL,27068823
212,108.84,2016-11-04T00:00:00Z,110.25,108.84,108.11,108.53,AAPL,31139771
213,110.41,2016-11-07T00:00:00Z,110.51,110.41,109.46,110.15,AAPL,32539417
214,111.06,2016-11-08T00:00:00Z,111.72,111.06,109.7,110.31,AAPL,24245306
215,110.88,2016-11-09T00:00:00Z,111.32,110.88,108.05,109.88,AAPL,58924432
216,107.79,2016-11-10T00:00:00Z,111.1,107.79,105.83,111.05,AAPL,57188565
217,108.43,2016-11-11T00:00:00Z,108.87,108.43,106.55,107.12,AAPL,34127481
218,105.71,2016-11-14T00:00:00Z,116.6277,105.71,104.08,107.71,AAPL,51258240
219,107.11,2016-11-15T00:00:00Z,107.68,107.11,106.1593,106.57,AAPL,32301078
220,109.99,2016-11-16T00:00:00Z,110.23,109.99,106.56,106.85,AAPL,62496896
221,109.95,2016-11-17T00:00:00Z,110.35,109.95,108.83,109.82,AAPL,28268456
222,110.06,2016-11-18T00:00:00Z,110.54,110.06,106.7,109.78,AAPL,28445971
223,111.73,2016-11-21T00:00:00Z,111.99,111.73,110.01,110.12,AAPL,29326990
224,111.8,2016-11-22T00:00:00Z,112.42,111.8,111.4,111.95,AAPL,25945397
225,111.23,2016-11-23T00:00:00Z,111.52,111.23,110.33,111.36,AAPL,27435643
226,111.79,2016-11-25T00:00:00Z,111.87,111.79,110.95,111.13,AAPL,11476504
227,111.57,2016-11-28T00:00:00Z,112.465,111.57,111.39,111.42,AAPL,27314245
228,111.46,2016-11-29T00:00:00Z,112.03,111.46,110.07,110.69,AAPL,28545812
229,110.52,2016-11-30T00:00:00Z,112.2,110.52,105.21,111.6,AAPL,36161978
230,109.49,2016-12-01T00:00:00Z,110.94,109.49,109.03,110.365,AAPL,37105987
231,109.9,2016-12-02T00:00:00Z,110.09,109.9,108.85,109.29,AAPL,26522516
232,109.11,2016-12-05T00:00:00Z,110.84,109.11,108.25,110.0,AAPL,34406166
233,109.95,2016-12-06T00:00:00Z,110.36,109.95,109.19,109.45,AAPL,26189056
234,111.03,2016-12-07T00:00:00Z,111.235,111.03,109.16,109.27,AAPL,29996275
235,112.12,2016-12-08T00:00:00Z,112.4545,112.12,110.6,110.81,AAPL,27168461
236,113.95,2016-12-09T00:00:00Z,114.7,113.95,112.31,112.31,AAPL,34398901
237,113.3,2016-12-12T00:00:00Z,115.0,113.3,109.1058,113.29,AAPL,26367093
238,115.19,2016-12-13T00:00:00Z,115.92,115.19,109.8108,113.84,AAPL,43729980
239,115.19,2016-12-14T00:00:00Z,116.2,115.19,114.98,115.04,AAPL,34030778
240,115.82,2016-12-15T00:00:00Z,116.73,115.82,114.165,115.36,AAPL,48063263
241,115.97,2016-12-16T00:00:00Z,116.5,115.97,115.645,116.45,AAPL,44409336
242,116.64,2016-12-19T00:00:00Z,117.38,116.64,108.415,115.8,AAPL,28780001
243,116.95,2016-12-20T00:00:00Z,117.5,116.95,111.7199,116.8,AAPL,21419704
244,117.06,2016-12-21T00:00:00Z,117.4,117.06,109.95,116.94,AAPL,24484716
245,116.29,2016-12-22T00:00:00Z,116.51,116.29,108.46,116.35,AAPL,26075473
246,116.52,2016-12-23T00:00:00Z,116.52,116.52,115.59,115.59,AAPL,14249163
247,117.26,2016-12-27T00:00:00Z,117.8,117.26,116.49,116.56,AAPL,18296065
248,116.76,2016-12-28T00:00:00Z,118.0166,116.76,116.2,117.52,AAPL,20904482
249,116.73,2016-12-29T00:00:00Z,117.1095,116.73,116.4,116.44,AAPL,15041971
250,115.82,2016-12-30T00:00:00Z,117.2,115.82,115.43,116.65,AAPL,30581057
251,116.15,2017-01-03T00:00:00Z,116.33,116.15,114.76,115.81,AAPL,28840837
252,116.02,2017-01-04T00:00:00Z,117.09,116.02,115.75,115.88,AAPL,21121357
253,116.61,2017-01-05T00:00:00Z,116.8642,116.61,115.8,115.92,AAPL,22193468
254,117.91,2017-01-06T00:00:00Z,118.16,117.91,116.47,116.78,AAPL,31762055
255,118.99,2017-01-09T00:00:00Z,119.43,118.99,117.94,117.94,AAPL,33550720
256,119.11,2017-01-10T00:00:00Z,119.38,119.11,115.66,118.81,AAPL,24461371
257,119.75,2017-01-11T00:00:00Z,119.93,119.75,117.6,118.79,AAPL,27587597
258,119.24,2017-01-12T00:00:00Z,119.3,119.24,118.21,118.99,AAPL,27034665
259,119.04,2017-01-13T00:00:00Z,119.62,119.04,118.81,119.12,AAPL,26187344
260,120.0,2017-01-17T00:00:00Z,120.24,120.0,118.22,118.32,AAPL,34498587
261,119.99,2017-01-18T00:00:00Z,120.5,119.99,116.315,120.0,AAPL,23801813
262,119.78,2017-01-19T00:00:00Z,120.09,119.78,119.37,119.4,AAPL,25568867
263,120.0,2017-01-20T00:00:00Z,120.45,120.0,119.73,120.21,AAPL,32715993
264,120.08,2017-01-23T00:00:00Z,120.81,120.08,105.36,119.95,AAPL,22045272
265,119.97,2017-01-24T00:00:00Z,120.1,119.97,119.5,119.55,AAPL,23167431
266,121.88,2017-01-25T00:00:00Z,122.1,121.88,120.1,120.42,AAPL,32581690
267,121.94,2017-01-26T00:00:00Z,122.44,121.94,121.2895,121.67,AAPL,26336036
268,121.95,2017-01-27T00:00:00Z,122.35,121.95,118.874,122.14,AAPL,20565676
269,121.63,2017-01-30T00:00:00Z,121.63,121.63,120.65,120.93,AAPL,30434281
270,121.35,2017-01-31T00:00:00Z,121.3953,121.35,120.6033,121.15,AAPL,49229970
271,128.75,2017-02-01T00:00:00Z,130.49,128.75,108.3129,127.03,AAPL,111868708
272,128.53,2017-02-02T00:00:00Z,129.39,128.53,121.026,127.99,AAPL,33768252
